Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,Active Infections
30 January,2020-01-30,1,1,0,0,0,0,1
31 January,2020-01-31,0,1,0,0,0,0,1
01 February,2020-02-01,0,1,0,0,0,0,1
02 February,2020-02-02,1,2,0,0,0,0,2
03 February,2020-02-03,1,3,0,0,0,0,3
04 February,2020-02-04,0,3,0,0,0,0,3
05 February,2020-02-05,0,3,0,0,0,0,3
06 February,2020-02-06,0,3,0,0,0,0,3
07 February,2020-02-07,0,3,0,0,0,0,3
08 February,2020-02-08,0,3,0,0,0,0,3
09 February,2020-02-09,0,3,0,0,0,0,3
10 February,2020-02-10,0,3,0,0,0,0,3
11 February,2020-02-11,0,3,0,0,0,0,3
12 February,2020-02-12,0,3,0,0,0,0,3
13 February,2020-02-13,0,3,1,1,0,0,2
14 February,2020-02-14,0,3,0,1,0,0,2
15 February,2020-02-15,0,3,0,1,0,0,2
16 February,2020-02-16,0,3,1,2,0,0,1
17 February,2020-02-17,0,3,0,2,0,0,1
18 February,2020-02-18,0,3,0,2,0,0,1
19 February,2020-02-19,0,3,0,2,0,0,1
20 February,2020-02-20,0,3,1,3,0,0,0
21 February,2020-02-21,0,3,0,3,0,0,0
22 February,2020-02-22,0,3,0,3,0,0,0
23 February,2020-02-23,0,3,0,3,0,0,0
24 February,2020-02-24,0,3,0,3,0,0,0
25 February,2020-02-25,0,3,0,3,0,0,0
26 February,2020-02-26,0,3,0,3,0,0,0
27 February,2020-02-27,0,3,0,3,0,0,0
28 February,2020-02-28,0,3,0,3,0,0,0
29 February,2020-02-29,0,3,0,3,0,0,0
01 March,2020-03-01,0,3,0,3,0,0,0
02 March,2020-03-02,2,5,0,3,0,0,2
03 March,2020-03-03,1,6,0,3,0,0,3
04 March,2020-03-04,22,28,0,3,0,0,25
05 March,2020-03-05,2,30,0,3,0,0,27
06 March,2020-03-06,1,31,0,3,0,0,28
07 March,2020-03-07,3,34,0,3,0,0,31
08 March,2020-03-08,5,39,0,3,0,0,36
