,CoSIR_Ideal,CoSIR_approx,Dynamic_Intervention_0.8,Dynamic_Intervention_0.5,Constant beta
0,0.20006592396939926,0.2,0.16000000000000003,0.1,0.44000000000000006
1,0.4867817887731228,0.5,0.16000000000000003,0.1,
2,0.5865209512957404,0.5,0.16000000000000003,0.1,
3,0.640335064575078,0.5,0.16000000000000003,0.1,
4,0.4280394609249579,0.4,0.16000000000000003,0.1,
5,0.17453493535012793,0.2,0.16000000000000003,0.1,
6,0.08229676475800972,0.1,0.16000000000000003,0.1,
7,0.059557678326936134,0.1,0.16000000000000003,0.1,
8,0.06660654986618043,0.1,0.16000000000000003,0.1,
9,0.10550255777684092,0.1,0.16000000000000003,0.1,
10,0.20264932475420439,0.2,0.16000000000000003,0.1,
11,0.36021898024880594,0.4,0.16000000000000003,0.1,
12,0.41367751333984,0.4,0.16000000000000003,0.1,
13,0.2709305340223723,0.30000000000000004,0.16000000000000003,0.1,
14,0.14479098015856093,0.1,0.16000000000000003,0.1,
15,0.09438577233891386,0.1,0.16000000000000003,0.1,
16,0.0866413192540488,0.1,0.16000000000000003,0.1,
17,0.11000891774486003,0.1,0.16000000000000003,0.1,
18,0.17430102655757215,0.2,0.16000000000000003,0.1,
19,0.2856507485841411,0.30000000000000004,0.16000000000000003,0.1,
20,0.36736340383135707,0.4,0.16000000000000003,0.1,
21,0.30259682535414684,0.30000000000000004,0.16000000000000003,0.1,
22,0.18540532655567862,0.2,0.16000000000000003,0.1,
23,0.12012686864830564,0.1,0.16000000000000003,0.1,
24,0.10106407636065033,0.1,0.16000000000000003,0.1,
25,0.11412830394836096,0.1,0.16000000000000003,0.1,
26,0.16174653923118057,0.2,0.16000000000000003,0.1,
27,0.24878606525038907,0.2,0.16000000000000003,0.1,
28,0.3320922810138563,0.30000000000000004,0.16000000000000003,0.1,
29,0.31182330846086964,0.30000000000000004,0.16000000000000003,0.1,
30,0.2134470132220227,0.2,0.16000000000000003,0.1,
31,0.14100085981124288,0.1,0.16000000000000003,0.1,
32,0.11303097579401228,0.1,0.16000000000000003,0.1,
33,0.11806619095653464,0.1,0.16000000000000003,0.1,
34,0.1546043077296348,0.2,0.16000000000000003,0.1,
35,0.22593994373215226,0.2,0.16000000000000003,0.1,
36,0.30532425694626,0.30000000000000004,0.16000000000000003,0.1,
37,0.31188071977047743,0.30000000000000004,0.16000000000000003,0.1,
38,0.2335695134829414,0.2,0.16000000000000003,0.1,
39,0.15879364008422855,0.2,0.16000000000000003,0.1,
40,0.1236909616357899,0.1,0.44000000000000006,0.44000000000000006,
41,0.12198497615931483,0.1,0.44000000000000006,0.44000000000000006,
42,0.15015128889777454,0.2,0.44000000000000006,0.44000000000000006,
43,0.21007591751263405,0.2,0.44000000000000006,0.44000000000000006,
44,0.28420715554310805,0.30000000000000004,0.44000000000000006,0.44000000000000006,
45,0.3076645749056211,0.30000000000000004,0.44000000000000006,0.44000000000000006,
46,0.24822995727540692,0.2,0.44000000000000006,0.44000000000000006,
47,0.17438601729950995,0.2,0.44000000000000006,0.44000000000000006,
48,0.13357969452259957,0.1,0.44000000000000006,0.44000000000000006,
49,0.12597726750502483,0.1,0.44000000000000006,0.44000000000000006,
50,0.14732124581895728,0.1,0.44000000000000006,0.44000000000000006,
51,0.19831438208036725,0.2,0.44000000000000006,0.44000000000000006,
52,0.2669832355350737,0.30000000000000004,0.44000000000000006,0.44000000000000006,
53,0.30130275400213635,0.30000000000000004,0.44000000000000006,0.44000000000000006,
54,0.25885782472237767,0.30000000000000004,0.44000000000000006,0.44000000000000006,
55,0.18825096885557754,0.2,0.44000000000000006,0.44000000000000006,
56,0.14297779586232676,0.1,0.44000000000000006,0.44000000000000006,
57,0.13009768705698718,0.1,0.44000000000000006,0.44000000000000006,
58,0.14560100934698775,0.1,0.44000000000000006,0.44000000000000006,
59,0.189239194243987,0.2,0.44000000000000006,0.44000000000000006,
60,0.2525808430945496,0.30000000000000004,0.16000000000000003,0.1,
61,0.293845197734969,0.30000000000000004,0.16000000000000003,0.1,
62,0.2663621706677168,0.30000000000000004,0.16000000000000003,0.1,
63,0.2006544426780594,0.2,0.16000000000000003,0.1,
64,0.15203887623984738,0.2,0.16000000000000003,0.1,
65,0.13437907114428788,0.1,0.16000000000000003,0.1,
66,0.14470937363615358,0.1,0.16000000000000003,0.1,
67,0.18206432058325048,0.2,0.16000000000000003,0.1,
68,0.24031883507140445,0.2,0.16000000000000003,0.1,
69,0.2858630954956912,0.30000000000000004,0.16000000000000003,0.1,
70,0.27136823615823963,0.30000000000000004,0.16000000000000003,0.1,
71,0.21174977196869363,0.2,0.16000000000000003,0.1,
72,0.16084482545120696,0.2,0.16000000000000003,0.1,
73,0.13884054990068914,0.1,0.16000000000000003,0.1,
74,0.1444777699755473,0.1,0.16000000000000003,0.1,
75,0.1763143881362753,0.2,0.16000000000000003,0.1,
76,0.22974409036945348,0.2,0.16000000000000003,0.1,
77,0.27769146505956804,0.30000000000000004,0.16000000000000003,0.1,
78,0.2743357553932882,0.30000000000000004,0.16000000000000003,0.1,
79,0.22162711985330094,0.2,0.16000000000000003,0.1,
80,0.16943315515900517,0.2,0.16000000000000003,0.1,
81,0.14349169285452965,0.1,0.16000000000000003,0.1,
82,0.14479814597725063,0.1,0.16000000000000003,0.1,
83,0.1716828651297188,0.2,0.16000000000000003,0.1,
84,0.2205424201449694,0.2,0.16000000000000003,0.1,
85,0.2695382607623291,0.30000000000000004,0.16000000000000003,0.1,
86,0.27562181937441516,0.30000000000000004,0.16000000000000003,0.1,
87,0.23034166108922333,0.2,0.16000000000000003,0.1,
